PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLMI,WEIGHT,HEIGHT
Kelly Oubre Jr.,GSW,25,55,27,28,30.7,15.4,5.8,13.2,43.9,1.6,5.2,31.6,2.2,3.2,69.5,1.5,4.5,6,1.3,1.3,1,0.8,2.2,28.7,6,0,-3.5,92,201
Kemba Walker,OKC,31,43,22,21,31.8,19.3,6.6,15.7,42,3,8.2,36,3.1,3.5,89.9,0.4,3.6,4,4.9,2,1.1,0.3,1.4,33.6,0,0,2.2,83,183
Kendrick Nunn,MIA,25,56,31,25,29.5,14.6,5.7,11.8,48.5,2.2,5.7,38.1,1,1.1,93.3,0.4,2.8,3.2,2.6,1.4,0.9,0.3,1.9,24.5,0,0,-0.1,86,188
Kenrich Williams,OKC,26,66,21,45,21.6,8,3.3,6.2,53.3,0.8,1.8,44.4,0.5,1,57.1,1.3,2.9,4.1,2.3,1.2,0.8,0.3,2.2,18.5,0,0,-2.7,95,198
Kent Bazemore,GSW,31,67,35,32,19.9,7.2,2.6,5.9,44.9,1.1,2.7,40.8,0.8,1.2,69.2,0.4,3,3.4,1.6,1.2,1,0.5,2.4,17,1,0,2.5,88,193
Kentavious Caldwell-Pope,LAL,28,67,39,28,28.4,9.7,3.3,7.6,43.1,1.8,4.4,41,1.4,1.7,86.6,0.4,2.3,2.7,1.9,1,0.9,0.4,1.7,18.8,1,0,2.1,93,196
Kenyon Martin Jr.,HOU,20,45,10,35,23.7,9.3,3.6,7.1,50.9,0.8,2.1,36.5,1.3,1.9,71.4,1.6,3.8,5.4,1.1,0.8,0.7,0.9,2,21.3,4,0,-6.3,98,198
Kevin Durant,BKN,32,35,23,12,33.1,26.9,9.3,17.2,53.7,2.4,5.4,45,6,6.8,88.2,0.4,6.7,7.1,5.6,3.4,0.7,1.3,2,46.3,12,0,8,109,208
Kevin Huerter,ATL,22,69,40,29,30.8,11.9,4.6,10.6,43.2,2,5.6,36.3,0.7,0.9,78.1,0.6,2.8,3.3,3.5,1.1,1.2,0.3,2.4,24.4,3,0,1,86,201
Kevin Knox II,NYK,21,42,26,16,11.1,3.9,1.3,3.4,39.2,0.8,2.1,39.3,0.4,0.5,80,0.2,1.2,1.5,0.5,0.4,0.3,0.1,0.9,7.2,0,0,-0.8,98,201
Kevin Love,CLE,32,25,7,18,24.9,12.2,4.1,10.1,40.9,2.3,6.2,36.5,1.7,2,82.4,0.7,6.8,7.4,2.5,1.5,0.6,0.1,1,25.5,5,0,-2.9,114,203
Kevin Porter Jr.,HOU,21,26,4,22,32.1,16.6,6,14.1,42.5,1.9,6.2,31.1,2.7,3.6,73.4,0.8,3,3.8,6.3,3.5,0.7,0.3,2.3,30.2,4,0,-8.6,92,193
Kevon Looney,GSW,25,61,34,27,19,4.1,1.8,3.2,54.8,0.1,0.3,23.5,0.5,0.8,64.6,1.9,3.4,5.3,2,0.6,0.3,0.4,2.2,14.9,0,0,2.1,101,206
Khem Birch,TOR,28,67,23,44,22.8,7.2,2.8,5.7,49.7,0.2,0.8,25,1.4,1.9,70.5,2.6,3.2,5.8,1.3,0.7,0.7,0.7,1.7,19.8,6,0,-1.9,106,206
