"","TEAM","PTS","AGE","MIN","FGA","X3PM","REB","AST","KG","CM"
"502","SAS",2.5,21,7.3,2.1,0.1,0.6,1.1,84,185
"503","BOS",3.8,23,9.1,3.2,0.6,0.8,2.4,79,178
"504","UTA",2.9,23,10.1,2.4,0.2,1.5,1.5,95,193
"505","MIA",9.4,36,28,8,1.7,4.8,1.8,98,203
"506","DAL",6.6,28,14.7,5.7,0.9,0.9,1.3,84,183
"507","SAS",5,25,15.6,3.9,0.6,3.7,0.6,106,206
"508","BOS",7.6,30,23.8,6,0,8.1,1.2,115,206
"509","CHI",4.7,21,15.4,4.2,0.6,3.1,0.9,98,198
"510","OKC",10.7,23,23.9,8.7,2.2,2.8,3.6,88,196
"511","PHX",0.6,22,3.2,0.8,0.1,0.7,0.4,98,201
"512","DAL",1,23,3.9,1.2,0.1,1.1,0.2,116,203
"513","DET",4.9,23,13.7,3.2,0,3,0.5,88,196
"514","MIA",15.1,21,30.3,12.9,2,5,3.4,84,191
"515","BKN",5.4,29,17.5,4.7,1.2,2,1.2,73,188
"516","DAL",1,20,5.1,1.5,0,0.5,0.5,84,196
"517","SAC",13,21,30.1,10.7,2.1,3,5.3,91,188
"518","PHI",8,20,15.3,7,0.5,1.7,2,88,191
"519","MEM",6.3,25,17.5,5.9,0.6,2,3.7,89,183
"520","UTA",1.1,21,3.8,0.6,0,0.9,0,127,208
"521","MIA",4,41,2.7,2,0,1,0,107,203
"522","CHA",2.4,20,6,1.9,0.1,1.4,0.1,122,206
"523","MIA",19.8,29,32.7,17.5,2.4,4.8,4.6,97,193
"524","PHI",0.8,27,3.9,1.2,0,1.4,0.2,107,213
"525","DEN",2.1,24,6.9,1.8,0.2,1.2,0.3,107,203
"526","DET",9.6,33,22,7.3,2.5,1.8,1.5,94,193
"527","ORL",11.2,22,25.5,8.5,0.3,8.2,1.9,122,208
"528","NOP",3.4,24,11.5,2.9,0.6,2.6,0.5,93,206
"529","NOP",2.4,26,13.1,2.5,0.1,2.2,0.4,88,198
"530","LAL",4.8,34,19.5,4.3,1.1,1.6,0.9,100,193
"531","DEN",12.7,30,31,10.9,1.8,4,3.2,82,198
"532","NOP",0,23,3.3,1,0,0,0,106,208
"533","DAL",5.3,27,17.1,3.4,0,4.5,0.7,109,213
"534","NOP",7.8,27,18,5.7,0,7.1,1.1,113,211
"535","MEM",6.6,22,18.4,5.1,0.4,4.3,1.3,111,203
"536","LAC",5.6,28,13.7,5.7,0.9,1.9,2.2,81,183
"537","TOR",4.4,26,14.5,3.6,0.7,3.2,0.8,98,206
"538","CHI",27.4,26,35.1,19.4,3.4,5,4.9,91,196
"539","DEN",3.2,20,9.5,2.5,0.6,1.5,0.2,109,206
"540","NOP",27,20,33.2,17,0.2,7.2,3.7,129,201
